"Книга","Автор","Ссылка"
"Чайка по имени Джонатан Ливингстон","Бах, Ричард","https://ru.wikipedia.org/wiki/%D0%A7%D0%B0%D0%B9%D0%BA%D0%B0_%D0%BF%D0%BE_%D0%B8%D0%BC%D0%B5%D0%BD%D0%B8_%D0%94%D0%B6%D0%BE%D0%BD%D0%B0%D1%82%D0%B0%D0%BD_%D0%9B%D0%B8%D0%B2%D0%B8%D0%BD%D0%B3%D1%81%D1%82%D0%BE%D0%BD"
"Маленький принц","Сент-Экзюпери, Антуан де","https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BB%D0%B5%D0%BD%D1%8C%D0%BA%D0%B8%D0%B9_%D0%BF%D1%80%D0%B8%D0%BD%D1%86"
"Дитя из чемодана (страница отсутствует)","Уилсон, Жаклин",NA
"Приключения Оливера Твиста","Диккенс, Чарльз","https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B8%D0%BA%D0%BB%D1%8E%D1%87%D0%B5%D0%BD%D0%B8%D1%8F_%D0%9E%D0%BB%D0%B8%D0%B2%D0%B5%D1%80%D0%B0_%D0%A2%D0%B2%D0%B8%D1%81%D1%82%D0%B0"
"Сила единства (страница отсутствует)","Куртене, Брайс (страница отсутствует)",NA
"Сайлес Марнер (страница отсутствует)","Джордж Элиот",NA
"Американский психопат","Эллис, Брет Истон","https://ru.wikipedia.org/wiki/%D0%90%D0%BC%D0%B5%D1%80%D0%B8%D0%BA%D0%B0%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D1%81%D0%B8%D1%85%D0%BE%D0%BF%D0%B0%D1%82"
"Дневник незначительного лица, повесть (страница отсутствует)","Гроссмит, Джордж (страница отсутствует)",NA
"На игле (роман)","Уэлш, Ирвин","https://ru.wikipedia.org/wiki/%D0%9D%D0%B0_%D0%B8%D0%B3%D0%BB%D0%B5_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)"
"Хайди (повесть)","Шпири, Иоганна","https://ru.wikipedia.org/wiki/%D0%A5%D0%B0%D0%B9%D0%B4%D0%B8_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)"
"Сыновья и любовники","Лоуренс, Дэвид Герберт","https://ru.wikipedia.org/wiki/%D0%A1%D1%8B%D0%BD%D0%BE%D0%B2%D1%8C%D1%8F_%D0%B8_%D0%BB%D1%8E%D0%B1%D0%BE%D0%B2%D0%BD%D0%B8%D0%BA%D0%B8"
"Невыносимая лёгкость бытия","Кундера, Милан","https://ru.wikipedia.org/wiki/%D0%9D%D0%B5%D0%B2%D1%8B%D0%BD%D0%BE%D1%81%D0%B8%D0%BC%D0%B0%D1%8F_%D0%BB%D1%91%D0%B3%D0%BA%D0%BE%D1%81%D1%82%D1%8C_%D0%B1%D1%8B%D1%82%D0%B8%D1%8F"
"Мужчина и мальчик (страница отсутствует)","Парсонс, Тони",NA
"Правда (Плоский мир)","Пратчетт, Терри","https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B0%D0%B2%D0%B4%D0%B0_(%D0%9F%D0%BB%D0%BE%D1%81%D0%BA%D0%B8%D0%B9_%D0%BC%D0%B8%D1%80)"
"Война миров","Уэллс, Герберт Джордж","https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%B9%D0%BD%D0%B0_%D0%BC%D0%B8%D1%80%D0%BE%D0%B2"
"Ужастики (серия книг)","Стайн, Роберт Лоуренс","https://ru.wikipedia.org/wiki/%D0%A3%D0%B6%D0%B0%D1%81%D1%82%D0%B8%D0%BA%D0%B8_(%D1%81%D0%B5%D1%80%D0%B8%D1%8F_%D0%BA%D0%BD%D0%B8%D0%B3)"
"Заклинатель лошадей (роман) (страница отсутствует)","Эванс, Николас (страница отсутствует)",NA
"Хрупкое равновесие (страница отсутствует)","Мистри, Рохинтон",NA
"Ведьмы за границей","Пратчетт, Терри","https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D0%B4%D1%8C%D0%BC%D1%8B_%D0%B7%D0%B0_%D0%B3%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B5%D0%B9"
"Король былого и грядущего","Уайт, Теренс Хэнбери","https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D0%BE%D0%BB%D1%8C_%D0%B1%D1%8B%D0%BB%D0%BE%D0%B3%D0%BE_%D0%B8_%D0%B3%D1%80%D1%8F%D0%B4%D1%83%D1%89%D0%B5%D0%B3%D0%BE"
"Очень голодная гусеница","Карл, Эрик","https://ru.wikipedia.org/wiki/%D0%9E%D1%87%D0%B5%D0%BD%D1%8C_%D0%B3%D0%BE%D0%BB%D0%BE%D0%B4%D0%BD%D0%B0%D1%8F_%D0%B3%D1%83%D1%81%D0%B5%D0%BD%D0%B8%D1%86%D0%B0"
"Цветы на чердаке","Эндрюс, Вирджиния","https://ru.wikipedia.org/wiki/%D0%A6%D0%B2%D0%B5%D1%82%D1%8B_%D0%BD%D0%B0_%D1%87%D0%B5%D1%80%D0%B4%D0%B0%D0%BA%D0%B5"
