"Rank","Title","Description","Runtime","Genre","Rating","Metascore","Votes","Gross_Earning_in_Mil","Director","Actor"
32,"Плохая партия","    In a desert dystopia, a young woman is kidnapped by cannibals.",118,"Drama",5.3,62,20834,0.18,"Ana Lily Amirpour","Suki Waterhouse"
33,"Служанка","    A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",145,"Drama",8.1,84,79428,2.01,"Chan-wook Park","Min-hee Kim"
34,"Славные парни","    In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.",116,"Action",7.4,70,240542,36.26,"Shane Black","Russell Crowe"
35,"Большой и добрый великан","    An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.",117,"Adventure",6.4,66,69394,55.48,"Steven Spielberg","Mark Rylance"
36,"Ниже её губ","    An unexpected affair quickly escalates into a heart-stopping reality for two women whose passionate connection changes their lives forever.",94,"Drama",5.5,42,7630,NA,"April Mullen","Erika Linder"
37,"Под покровом ночи","    A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale.",116,"Drama",7.5,67,205445,10.64,"Tom Ford","Amy Adams"
38,"Любой ценой","    A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.",102,"Action",7.6,88,176629,26.86,"David Mackenzie","Chris Pine"
39,"Стартрек: Бесконечность","    The crew of the USS Enterprise explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy, who puts them, and everything the Federation stands for, to the test.",122,"Action",7.1,68,209963,158.85,"Justin Lin","Chris Pine"
40,"Великолепная семерка","    Seven gunmen from a variety of backgrounds are brought together by a vengeful young widow to protect her town from the private army of a destructive industrialist.",132,"Action",6.9,54,168608,93.43,"Antoine Fuqua","Denzel Washington"
41,"Селфи 69","    Your best friends are also the friends who'll make you do the stupidest things. After parting hardcore, Roxi, Yasmine and Ana meet in a bet that will change their lives: Who gets married first in three days?",116,"Action",6.7,NA,1079,NA,"Cristina Jacob","Silvia Busuioc"
42,"Неоновый демон","    An aspiring model, Jesse, is new to Los Angeles. However, her beauty and youth, which generate intense fascination and jealousy within the fashion industry, may prove themselves sinister.",117,"Horror",6.2,51,72453,1.33,"Nicolas Winding Refn","Elle Fanning"
43,"Белоснежка и охотник 2","    Eric and fellow warrior Sara, raised as members of ice Queen Freya's army, try to conceal their forbidden love as they fight to survive the wicked intentions of both Freya and her sister Ravenna.",114,"Action",6.1,35,87776,48.39,"Cedric Nicolas-Troyan","Chris Hemsworth"
44,"Книга джунглей","    After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo.",106,"Adventure",7.4,77,240942,364,"Jon Favreau","Neel Sethi"
45,"Невидимый гость","    While the clock is ticking, with the aid of a witness preparation expert, a successful entrepreneur accused of murder has less than three hours to come up with an impregnable defence.",106,"Crime",8.1,NA,84548,NA,"Oriol Paulo","Mario Casas"
46,"Кредо убийцы","    Callum Lynch explores the memories of his ancestor Aguilar de Nerha and gains the skills of a Master Assassin, before taking on the secret Templar society.",115,"Action",5.8,36,167224,54.65,"Justin Kurzel","Michael Fassbender"
